,longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
25094,37.531743,55.678631,09,1,0,3,1,0,"37.531743,55.678631",0
25095,37.8108,55.7003,05,0,0,2,1,0,"37.8108,55.7003",0
25096,37.83141,55.685466,01,0,0,2,2,0,"37.83141,55.685466",0
25097,37.489257,55.795721,10,0,0,2,1,0,"37.489257,55.795721",0
25098,37.829576,55.80953,08,0,0,2,1,0,"37.829576,55.80953",0
25099,37.571642,55.6972,05,0,1,2,1,0,"37.571642,55.6972",0
25100,37.517746,55.634904,10,0,1,2,1,0,"37.517746,55.634904",0
25101,37.7708,55.7106,05,0,0,3,1,0,"37.7708,55.7106",0
25102,37.8122,55.8031,07,0,0,3,1,0,"37.8122,55.8031",0
25103,37.540868,55.637579,05,0,0,2,1,0,"37.540868,55.637579",0
25104,37.464847,55.808318,02,1,0,2,1,0,"37.464847,55.808318",0
25105,37.586224,55.773387,08,0,1,2,1,0,"37.586224,55.773387",0
25106,37.41997,55.683863,08,0,1,1,1,0,"37.41997,55.683863",0
25107,37.555035,55.54841,06,0,0,2,1,0,"37.555035,55.54841",0
25108,37.364277,55.845223,08,0,0,2,1,0,"37.364277,55.845223",0
25109,37.4955,55.4459,07,0,0,3,1,0,"37.4955,55.4459",0
25110,37.456288,55.658452,05,0,0,3,1,0,"37.456288,55.658452",0
25111,37.324591,55.489188,05,0,0,2,1,0,"37.324591,55.489188",0
25112,37.823621,55.696992,08,0,0,4,1,0,"37.823621,55.696992",0
25113,37.673,55.86,08,1,0,2,1,0,"37.673,55.86",0
25114,37.630105,55.756637,09,0,0,2,1,0,"37.630105,55.756637",0
25115,37.481017,55.839657,11,0,0,2,1,0,"37.481017,55.839657",0
25116,37.749325,55.677713,03,1,0,3,1,0,"37.749325,55.677713",0
25117,37.690605,55.706345,11,0,0,2,1,0,"37.690605,55.706345",0
25118,37.836442,55.812683,12,0,0,2,1,0,"37.836442,55.812683",0
25119,37.56909,55.811519,10,0,0,2,1,0,"37.56909,55.811519",0
25120,37.616291,55.79638,05,0,0,2,1,0,"37.616291,55.79638",0
25121,37.406795,55.80315,12,1,1,2,1,0,"37.406795,55.80315",0
25122,37.624172,55.813099,12,0,0,2,1,0,"37.624172,55.813099",0
25123,37.46811,55.777309,12,0,0,2,1,0,"37.46811,55.777309",0
25124,37.326484,55.49124,10,1,1,4,1,0,"37.326484,55.49124",0
25125,37.66212,55.649535,09,0,0,2,1,0,"37.66212,55.649535",0
25126,37.394929,55.655582,11,1,0,3,2,0,"37.394929,55.655582",0
25127,37.664244,55.855106,06,0,0,2,1,0,"37.664244,55.855106",0
25128,37.196896,56.003336,05,0,1,2,1,0,"37.196896,56.003336",0
25129,37.636167,55.722621,06,0,1,2,1,0,"37.636167,55.722621",0
25130,37.645705,55.851758,06,0,0,2,2,0,"37.645705,55.851758",0
25131,37.589636,55.845566,06,0,0,2,1,0,"37.589636,55.845566",0
25132,37.760997,55.673646,06,0,0,3,1,0,"37.760997,55.673646",0
25133,37.580141,55.774165,12,1,0,2,1,0,"37.580141,55.774165",0
25134,37.502502,55.695913,07,1,0,2,1,0,"37.502502,55.695913",0
25135,37.69834,55.801305,03,1,0,3,1,0,"37.69834,55.801305",0
25136,37.664659,55.588781,03,0,0,3,1,0,"37.664659,55.588781",0
25137,37.560228,55.758153,03,0,1,2,1,0,"37.560228,55.758153",0
25138,37.391882,55.810573,10,0,0,2,1,0,"37.391882,55.810573",0
25139,37.392483,55.822466,08,0,0,4,1,0,"37.392483,55.822466",0
25140,37.731,55.7066,05,0,0,3,1,0,"37.731,55.7066",0
25141,37.642593,55.730391,12,0,1,2,1,0,"37.642593,55.730391",0
25142,37.700791,55.734362,05,0,1,3,1,0,"37.700791,55.734362",0
25143,37.929978,55.676069,10,1,0,3,1,0,"37.929978,55.676069",0
25144,37.565399,55.910252,10,0,0,2,1,0,"37.565399,55.910252",0
